,,,,,,,,,,,,,,,,,,,,
,RINGING SURVEY 19 September to 01 November 1993 (table 2),,,,,,,,,,,,,,,CODES,,,,
,Ringing,Tree #,,,Code,Ring,COLOUR RINGS,,Mass,Wing,Age at,Value at,Hatching,Laying ,,1,Chick ringed.,,,
,2019-10-05,352,28 41 11.0,24 49 30.8,2,,,,,,,,,,,,,,,
,2019-10-06,368,28 40 33.5,24 47 42.5,16,,,,,,,,,,,,,,,
,2019 08 20,373,28 40 14.8,24 50 10.4,8,,,,,,,,,,,,,,,
,2019-10-06,380,28 39 57.0,24 47 53.1,4,,,,5600,500,94,43744,2019-07-04,2019-05-09,,,,,,
,2019-10-05,385,28 40 44.7,24 50 02.2,1,G35723,,,2700,225,51,43743,2019-08-15,2019-06-20,,,,,,
,2019 08 18,399,28 39 21.8,24 47 40.1,8,,,,,,,,,,,,,,,
,2019-10-05,408,28 41 11.5,24 49 13.6,1,G35726,,,5700,450,84,43743,2019-07-13,2019-05-18,,,,,,
,2019 08 19,409,28 40 29.4,24 48 31.9,8,,,,,,,,,,,,,,,
,2019 08 18,410,28 39 50.2,24 48 36.5,5,,,,,,,,,,,,,,,
,2019 08 18,411,28 39 58.9,24 48 25.1,6,,,,,,,,,,,,,,,
,2019-10-06,413,28 40 08.6,24 48 23.6,1,G35782,,,5000,340,69,43744,2019-07-29,2019-06-03,,,,,,
,2019 08 22,447,28 37 20.7,24 48 34.8,16,,,,,,,,,,,,,,,
,2019-10-06,450,28 37 06.0,24 47 00.7,4,,,,5200,485,91,43744,2019-07-07,2019-05-12,,,,,,
,2019-10-05,458,28 38 52.0,24 47 09.6,1,G35751,,,5100,400,77,43743,2019-07-20,2019-05-25,,,,,,
,2019 08 21,459,28 39 19.7,24 47 22.9,6,,,,,,,,,,,,,,,
,2019-10-05,460,28 39 31.3,24 47 34.7,1,G35759,,,4750,405,78,43743,2019-07-19,2019-05-24,,,,,,
,2019-10-05,464,28 39 22.2,24 46 58.5,16,,,,,,,,,,,,,,,
,2019-10-06,468,28 40 07.8,24 47 11.3,1,G35790,,,3750,315,64,43744,2019-08-03,2019-06-08,,,,,,
,2019-10-06,469,28 40 19.2,24 47 19.7,4,,,,4250,370,73,43744,2019-07-25,2019-05-30,,,,,,
,2019-10-05,471,28 38 49.2,24 47 55.4,2,,,,,,,,,,,,,,,
,2019-10-06,479,28 40 39.1,24 49 20.8,4,,,,5600,490,92,43744,2019-07-06,2019-05-11,,,,,,
,2019-10-06,498,28 36 26.8,24 46 45.5,1,G35799,,,4900,450,84,43744,2019-07-14,2019-05-19,,,,,,
,2019 08 23,516,28 41 42.8,24 49 25.5,5,,,,,,,,,,,,,,,
,2019-10-06,519,28 36 51.4,24 46 29.7,4,,,,5200,405,78,43744,2019-07-20,2019-05-25,,,,,,
,2019 08 19,520,28 35 58.2,24 47 56.2,4,,,,,,,,,,,,,,,
,2019-10-05,528,28 37 30.9,24 50 22.9,8,,,,,,,,,,,,,,,
,2019-10-06,529,28 36 52.3,24 46 33.3,6,,,,,,,,,,,,,,,
,2019-10-06,533,28 41 04.7,24 48 25.3,6,,,,,,,,,,,,,,,
,2019-10-06,536,28 39 58.9,24 49 43.0,4,,,,4400,395,76,43744,2019-07-22,2019-05-27,,,,,,
,2019-10-05,540,28 38 41.6,24 46 57.5,1,G35750,,,5250,470,88,43743,2019-07-09,2019-05-14,,,,,,
,2019-10-05,546,28 39 23.8,24 47 49.8,1,G35758,,,5250,375,73,43743,2019-07-24,2019-05-29,,,,,,
,2019 08 22,549,28 36 22.3,24 46 58.2,5,,,,,,,,,,,,,,,
,2019-10-06,550,28 37 04.1,24 46 59.6,6,,,,,,,,,,,,,,,
,2019-10-05,552,28 40 46.7,24 49 53.7,1,G35724,,,5200,405,78,43743,2019-07-19,2019-05-24,,,,,,
,2019 08 23,555,28 40 16.1,24 50 30.6,6,,,,,,,,,,,,,,,
,2019-10-05,559,28 37 59.5,24 48 45.4,1,G35793,,,5300,448,84,43743,2019-07-13,2019-05-18,,,,,,
,2019-10-05,560,28 37 54.6,24 49 01.8,1,G35794,,,4900,425,80,43743,2019-07-17,2019-05-22,,,,,,
,2019-10-06,563,28 36 13.4,24 46 41.0,1,G35798,,,4900,410,79,43744,2019-07-19,2019-05-24,,,,,,
,2019-10-05,570,28 37 34.0,24 48 55.3,8,,,,,,,,,,,,,,,
,2019-10-05,571,28 37 42.5,24 49 18.2,1,G35795,,,5450,410,79,43743,2019-07-18,2019-05-23,,,,,,
,2019 08 22,572,28 40 55.5,24 48 37.8,5,,,,,,,,,,,,,,,
,2019-10-05,574,28 41 10.7,24 49 12.8,1,G35725,,,5500,400,77,43743,2019-07-20,2019-05-25,,,,,,
,2019-10-06,575,28 40 55.7,24 49 14.2,4,,,,4300,370,73,43744,2019-07-25,2019-05-30,,,,,,
,2019 08 22,576,28 38 19.2,24 47 02.4,6,,,,,,,,,,,,,,,
,2019 08 22,577,28 36 47.4,24 46 29.4,6,,,,,,,,,,,,,,,
,2019 08 18,578,28 39 28.4,24 48 53.2,8,,,,,,,,,,,,,,,
,2019-10-07,579,28 39 42.5,24 48 23.6,4,,,,,,,,,,,,,,,
,2019-10-05,580,28 39 21.5,24 47 52.6,1,G35757,,,4750,360,72,43743,2019-07-25,2019-05-30,,,,,,
,2019-10-05,585,28 37 08.9,24 49 27.5,1,G35783,,,3100,170,43,43743,2019-08-23,2019-06-28,,,,,,
,2019-10-05,586,28 37 23.5,24 49 34.9,1,G35784,,,4700,390,76,43743,2019-07-21,2019-05-26,,,,,,
,2019-10-06,587,28 39 58.1,24 48 11.7,1,G35788,,,5500,490,92,43744,2019-07-06,2019-05-11,,,,,,
,2019-10-05,588,28 38 59.3,24 47 48.6,1,G35755,,,5250,495,93,43743,2019-07-04,2019-05-09,,,,,,
,2019-10-06,589,28 40 16.8,24 49 13.9,1,G35730,,,5500,485,91,43744,2019-07-07,2019-05-12,,,,,,
,2019-10-05,590,28 39 01.3,24 47 07.4,1,G35753,,,4750,335,68,43743,2019-07-29,2019-06-03,,,,,,
,2019-10-06,591,28 39 51.2,24 47 35.1,1,G35760,,,5100,470,88,43744,2019-07-10,2019-05-15,,,,,,
,2019-10-06,592,28 37 00.2,24 46 24.3,6,,,,,,,,,,,,,,,
,2019-10-06,593,28 36 28.3,24 46 42.1,16,,,,,,,,,,,,,,,
,2019-10-06,594,28 36 21.1,24 46 49.2,6,,,,,,,,,,,,,,,
,2019-10-06,595,28 36 21.2,24 46 55.7,1,G35797,,,5200,425,80,43744,2019-07-18,2019-05-23,,,,,,
,2019-10-06,596,28 36 46.8,24 46 41.4,1,G35800,,,4000,295,61,43744,2019-08-06,2019-06-11,,,,,,
,2019-10-05,597,28 41 16.7,24 49 06.4,2,,,,,,,,2019-10-06,2019-08-11,,,,,,
,2019-10-05,598,28 39 46.9,24 50 42.4,1,G35720,,,4300,285,60,43743,2019-08-06,2019-06-11,,,,,,
,2019-10-05,599,28 40 00.6,24 50 31.8,6,,,,,,,,,,,,,,,
,2019-10-06,600,28 39 22.7,24 50 08.2,6,,,,,,,,,,,,,,,
,2019-10-05,601,28 37 19.1,24 49 26.0,1,G35719,,,5100,345,69,43743,2019-07-28,2019-06-02,,,,,,
,2019-10-05,602,28 36 02.2,24 49 11.9,1,G35785,,,3800,350,70,43743,2019-07-27,2019-06-01,,,,,,
,2019-10-05,603,28 35 48.3,24 49 12.4,1,G35786,,,4600,410,79,43743,2019-07-18,2019-05-23,,,,,,
,2019-10-06,604,28 36 53.6,24 47 27.5,1,G35796,,,4300,340,69,43744,2019-07-29,2019-06-03,,,,,,
,TOTALS,108,,,108,45,1,,4571,370,73,,2019-07-25,2019-05-30,,,,,,
,,,,,,,,,,,,,,,,,,,,
,OCTOBER SURVEY 17 to 20 Oct 2020 (table 2),,,,,,,,,,,,,,,,,,,
,Ringing,Tree #,,,Code,Ring,Tag,,Mass,Wing,Age at,Value at,Hatching,Laying ,,,,,,
,Date,DRN,Southings,Eastings,Oct,#,#,,g,length mm,Ringing (days),Ringing,Date,Date,,,,,,
,2020-10-17,3,"28 38 55,6","24 47 15,4",1,G36249,W528,,4500,405,78,44121,2020-07-31,2020-06-05,,,,,,
,2020-10-17,5,"28 38 54,4","24 47 31,2",1,G36241,W521,,4800,540,104,44121,2020-07-05,2020-05-10,,,,,,
,2020-10-17,11,"28 39 15,4","24 47 11,9",1,G36251,W530,,4800,400,77,44121,2020-08-01,2020-06-06,,,,,,
,2020-10-17,12,"28 39 27,1","24 47 41,4",1,G36246,W525,,5100,480,90,44121,2020-07-19,2020-05-24,,,,,,
,2020-10-17,38,"28 37 46,5","24 50 01,1",6,,,,,,,,,,,,,,,
,2020-08-27,39,"28 37 48,3","24 49 59,3",6,,,,,,,,,,,,,,,
,2020-10-17,42,"28 37 31,7","24 51 41,5",16,,,,,,,,,,,,,,,
,2020-10-17,52,"28 39 22,6","24 47 31,3",6,,,,,,,,,,,,,,,
,2020-10-19,53,"28 39 31,4","24 47 27,7",1,G36258,W537,,4300,445,83,44123,2020-07-28,2020-06-02,,,,,,
,2020-10-17,64,"28 36 51,9","24 49 51,0",6,,,,,,,,,,,,,,,
,2020-10-17,65,"28 37 33,1","24 51 35,1",6,,,,,,,,,,,,,,,
,2020-10-19,78,"28 41 02,9","24 49 01,1",1,G36266,W545,,4100,335,68,44123,2020-08-12,2020-06-17,,,,,,
,2020-08-24,85,"28 39 16,9","24 48 46,5",8,,,,,,,,,,,,,,,
,2020-08-27,95,"28 40 29,8","24 50 18,6",6,,,,,,,,,,,,,,,
,2020-10-19,101,"28 41 11,5","24 49 13,7",1,G36268,W547,,5300,485,91,44123,2020-07-20,2020-05-25,,,,,,
,2020-10-20,104,"28 40 33,3","24 48 57,4",6,,,,,,,,,,,,,,,
,2020-08-28,106,"28 40 00,4","24 49 07,0",6,,,,,,,,,,,,,,,
,2020-10-18,107,"28 39 42,7","24 50 07,3",16,,,,,,,,,,,,,,,
,2020-10-18,108,"28 39 56,8","24 50 07,3",1,G36218,W487,,5200,445,83,44122,2020-07-27,2020-06-01,,,,,,
,2020-10-18,109,"28 40 38,0","24 50 16,6",6,,,,,,,,,,,,,,,
,2020-10-17,147,"28 37 48,6","24 50 18,2",6,,,,,,,,,,,,,,,
,2020-10-19,154,"28 40 30,4","24 47 20,1",1,G36264,W543,,3800,350,70,44123,2020-08-10,2020-06-15,,,,,,
,2020-10-17,155,"   28 37 43,1","24 51 38,2",16,,,,,,,,,,,,,,,
,2020-10-20,163,"28 39 35,3","24 49 47,8",6,,,,,,,,,,,,,,,
,2020-10-18,182,"28 40 33,4","24 50 32,4",1,G36216,W485,,5400,545,105,44122,2020-07-05,2020-05-10,,,,,,
,2020-08-25,211,"28 39 51,8","24 47 25,6",6,,,,,,,,,,,,,,,
,2020-08-27,240,"28 38 56,2","24 50 08,3",6,,,,,,,,,,,,,,,
,2020-10-17,259,"28 36 14,3","24 48 58,4",6,,,,,,,,,,,,,,,
,2020-10-19,262,"28 41 09,6","24 48 41,7",1,G36265,W544,,4900,495,93,44123,2020-07-18,2020-05-23,,,,,,
,2020-08-28,266,"28 40 15,9","24 48 52,1",8,,,,,,,,,,,,,,,
,2020-10-18,314,"28 39 55,6","24 48 11,0",1,G36255,W534,,5000,525,100,44122,2020-07-10,2020-05-15,,,,,,
,2020-10-18,316,"28 40 17,7","24 50 02,2",1,G36217,W486,,4800,475,89,44122,2020-07-21,2020-05-26,,,,,,
,2020-10-17,359,"28 38 43,1","24 47 35,5",4,,,,,,,,,,,,,,,
,2020-10-18,373,"28 40 14,8","24 50 10,4",6,,,,,,,,,,,,,,,
,2020-10-18,380,"28 39 57,0","24 47 53,1",1,G36256,W535,,5100,540,104,44122,2020-07-06,2020-05-11,,,,,,
,2020-10-20,385,"28 40 44,7","24 50 02,2",1,G36221,,,4100,330,67,44124,2020-08-14,2020-06-19,,,,,,
,2020-08-25,410,"28 39 50,2","24 48 36,5",8,,,,,,,,,,,,,,,
,2020-10-18,411,"28 39 58,9","24 48 25,1",1,G36252,W531,,5700,500,94,44122,2020-07-16,2020-05-21,,,,,,
,2020-10-18,413,"28 40 08,6","24 48 23,6",1,G36253,W532,,5300,520,99,44122,2020-07-11,2020-05-16,,,,,,
,2020-10-18,414,"28 39 59,5","24 48 06,5",8,,,,,,,,,,,,,,,
,2020-08-28,420,"28 36 26,7","24 47 11,8",4,,,,,,,,,,,,,,,
,2020-10-18,447,"28 37 20,7","24 46 34,8",1,G36215,W484,,5300,440,82,44122,2020-07-28,2020-06-02,,,,,,
,2020-10-17,459,"28 39 19,7","24 47 22,9",6,,,,,,,,,,,,,,,
,2020-10-17,460,"28 39 31,3","24 47 34,7",1,G36248,W527,,4900,510,96,44121,2020-07-13,2020-05-18,,,,,,
,2020-08-24,464,"28 39 22,2","24 46 58,5",5,,,,,,,,,,,,,,,
,2020-10-19,468,"28 40 07,8","24 47 11,3",1,G36263,W542,,4200,445,83,44123,2020-07-28,2020-06-02,,,,,,
,2020-08-25,469,"28 40 19,2","24 47 19,7",8,,,,,,,,,,,,,,,
,2020-10-17,471,"28 38 49,2","24 47 55,4",1,G36243,W523,,4600,543,105,44121,2020-07-04,2020-05-09,,,,,,
,2020-10-20,479,"28 40 39,1","24 49 20,8",1,G36269,W548,,4900,560,110,44124,2020-07-02,2020-05-07,,,,,,
,2020-10-17,498,"28 36 26,7","24 46 45,5",1,G36212,W482,,5100,465,87,44121,2020-07-22,2020-05-27,,,,,,
,2020-10-18,511,"28 37 22,2","24 46 53,9",3,,,,,,,,,,,,,,,
,2020-10-17,512,"28 36 25,7","24 46 58,6",5,,,,,,,,,,,,,,,
,2020-10-17,514,"28 38 50,2","24 47 05,6",3,,,,,,,,,,,,,,,
,2020-10-23,520,"28 35 58,2","24 47 56,2",4,,,,,,,,,,,,,,,
,2020-10-17,528,"28 37 30,9","24 50 22,9",8,,,,,,,,,,,,,,,
,2020-10-17,529,"28 36 52,3","24 46 33,3",1,G36214,,,2700,160,42,44121,2020-09-05,2020-07-11,,,,,,
,2020-08-31,533,"28 41 04,7","24 48 25,3",6,,,,,,,,,,,,,,,
,2020-10-18,536,"28 39 58,9","24 49 43,0",16,,,,,,,,,,,,,,,
,2020-10-17,540,"28 38 41,6","24 46 57,5",6,,,,,,,,,,,,,,,
,2020-10-20,552,"28 40 46,6","24 49 54,2",1,G36220,W488,,4800,510,96,44124,2020-07-16,2020-05-21,,,,,,
,2020-10-18,555,"28 40 16,1","24 50 30,6",6,,,,,,,,,,,,,,,
,2020-08-31,559,"28 37 59,5","24 48 45,4",6,,,,,,,,,,,,,,,
,2020-08-31,560,"28 37 54,6","24 49 01,8",8,,,,,,,,,,,,,,,
,2020-10-17,563,"28 36 13,4","24 46 41,0",6,,,,,,,,,,,,,,,
,2020-10-17,571,"28 37 42,5","24 49 18,2",6,,,,,,,,,,,,,,,
,2020-08-31,572,"28 40 55,5","24 48 37,8",8,,,,,,,,,,,,,,,
,2020-10-19,574,"28 41 10,7","24 49 12,8",1,G36267,W546,,5000,505,95,44123,2020-07-16,2020-05-21,,,,,,
,2020-08-28,576,"28 38 19,2","24 47 02,4",4,,,,,,,,,,,,,,,
,2020-08-24,578,"28 39 28,4","24 48 53,2",8,,,,,,,,,,,,,,,
,2020-10-17,580,"28 39 21,5","24 47 52,6",1,G36245,,,3300,300,62,44121,2020-08-16,2020-06-21,,,,,,
,2020-08-24,584,"28 38 59,3","24 47 09,4",8,,,,,,,,,,,,,,,
,2020-10-17,585,"28 37 08,9","24 49 27,5",1,G36211,,,4000,300,62,44121,2020-08-16,2020-06-21,,,,,,
,2020-10-17,586,"28 37 23,5","24 49 34,9",16,,,,,,,,,,,,,,,
,2020-10-18,587,"28 39 58,1","24 48 11,7",1,G36254,W533,,6300,540,104,44122,2020-07-06,2020-05-11,,,,,,
,2020-10-17,588,"28 38 59,3","24 47 48,6",1,G36244,W524,,4600,426,80,44121,2020-07-29,2020-06-03,,,,,,
,2020-08-24,590,"28 39 01,3","24 47 07,4",8,,,,,,,,,,,,,,,
,2020-10-19,591,"28 39 51,2","24 47 35,1",1,G36261,W540,,4600,500,94,44123,2020-07-17,2020-05-22,,,,,,
,2020-10-19,591,,,1,G36262,W541,,3400,417,79,44123,2020-08-01,2020-06-06,,,,,,
,2020-10-17,593,"28 36 28,3","24 46 42,1",1,G36213,W483,,5100,485,91,44121,2020-07-18,2020-05-23,,,,,,
,2020-10-17,595,"28 36 21,2","24 46 55,7",5,,,,,,,,,,,,,,,
,2020-10-17,596,"28 36 46,8","24 46 41,4",6,,,,,,,,,,,,,,,
,2020-08-31,598,"28 39 46,9","24 50 42,4",8,,,,,,,,,,,,,,,
,2020-10-20,600,"28 39 22,7","24 50 08,2",1,G36222,W489,,4400,420,80,44124,2020-08-01,2020-06-06,,,,,,
,2020-10-17,603,"28 35 48,3","24 49 12,4",6,,,,,,,,,,,,,,,
,2020-10-17,605,"28 39 16,5","24 47 05,0",16,,,,,,,,,,,,,,,
,2020-10-17,606,"28 39 01,0","24 47 04,2",1,G36250,W529,,5300,451,84,44121,2020-07-25,2020-05-30,,,,,,
,2020-10-17,607,"28 38 57,6","24 47 41,0",1,G36242,W522,,5500,495,93,44121,2020-07-16,2020-05-21,,,,,,
,2020-10-17,608,"28 39 32,9","24 47 46,3",1,G36247,W526,,5500,520,99,44121,2020-07-10,2020-05-15,,,,,,
,2020-10-19,609,"28 39 49,5","24 47 29,6",1,G36260,W539,,5300,460,86,44123,2020-07-25,2020-05-30,,,,,,
,2020-10-19,610,"28 39 52,6","24 47 09,7",1,G36259,W538,,5500,455,85,44123,2020-07-26,2020-05-31,,,,,,
,2020-10-18,611,"28 39 44,0","24 48 09,6",1,G36257,W536,,5600,505,95,44122,2020-07-15,2020-05-20,,,,,,
,2020-10-17,612,"28 37 16,3","24 49 26,8",8,,,,,,,,,,,,,,,
,2020-10-20,613,"28 39 40,5","24 49 57,6",16,,,,,,,,,,,,,,,
,2020-10-20,614,"28 40 47,6","24 49 17,9",1,G36270,W549,,5000,495,93,44124,2020-07-19,2020-05-24,,,,,,
,2020-10-17,615,"28 35 57,3","24 49 20,3",6,,,,,,,,,,,,,,,
,2020-10-17,616,"28 37 54,8","24 49 14,1",6,,,,,,,,,,,,,,,
,2020-10-20,617,"28 41 14,4","24 49 45,6",4,,,,,,,,,,,,,,,
,2020-10-20,618,"28 41 06,1","24 49 39,5",1,G36219,W550,,5100,547,105,44124,2020-07-07,2020-05-12,,,,,,
,TOTALS,98,,,98,42,38,,4814,459,88,,2020-07-22,2020-05-27,,,,,,
,,,,,,,,,,,,,,,,,,,,
,OCTOBER SURVEY 15 to 24 Oct 2021 (table 2),,,,,,,,,,,,,,,,,,,
,Ringing,Tree #,,,Code,Ring,Tag,,Mass,Wing,Age at,Value at,Hatching,Laying ,,,,,,
,Date,DRN,Southings,Eastings,Oct,#,#,,g,length mm,Ringing (days),Ringing,Date,Date,,,,,,
,2021-08-17,3,28 38 55.6,24 47 15.4,15,,,,,,,,,,,,,,,
,2021-10-16,5,28 38 54.4,24 47 31.2,6,,,,,,,,,,,,,,,
,2021-08-22,11,28 39 15.4,24 47 11.9,6,,,,,,,,,,,,,,,
,2021-08-31,12,"28 39 26,8","24 47 41,2",8,,,,,,,,,,,,,,,
,2021-08-21,38,28 37 46.5,24 50 01.1,6,,,,,,,,,,,,,,,
,2021-08-19,42,28 37 31.7,24 51 41.4,5,,,,,,,,,,,,,,,
,2021-08-22,52,28 39 22.3,24 47 31.8,6,,,,,,,,,,,,,,,
,2021-08-19,64,28 36 51.9,24 49 51.0,8,,,,,,,,,,,,,,,
,2021-08-19,65,28 37 33.1,24 51 35.1,8,,,,,,,,,,,,,,,
,2021-08-21,76,28 41 00.6,24 49 41.1,5,,,,,,,,,,,,,,,
,2021-10-18,79,"28 40 58,3","24 49 01,1",1,G36300,W565,,4700,280,60,44487,2021-08-19,2021-06-24,,,,,,
,2021-08-17,85,"28 39 16,8","24 48 46,3",8,,,,,,,,,,,,,,,
,2021-10-19,95,28 40 29.8,24 50 18.6,1,G36307,W571,,4800,520,99,44488,2021-07-12,2021-05-17,,,,,,
,2021-10-17,98,"28 40 13,7","24 48 39,1",1,G36302,,,3500,210,49,44486,2021-08-29,2021-07-04,,,,,,
,2021-08-21,101,28 41 11.5,24 49 13.7,6,,,,,,,,,,,,,,,
,2021-10-17,104,"28 40 33,1","24 48 57,8",1,G36301,W566,,4800,420,80,44486,2021-07-29,2021-06-03,,,,,,
,2021-10-17,106,"28 40 00,4","24 49 07,0",1,G36303,W567,,4500,520,99,44486,2021-07-10,2021-05-15,,,,,,
,2021-10-19,107,28 39 42.7,24 50 07.3,1,G36309,W573,,5400,460,86,44488,2021-07-25,2021-05-30,,,,,,
,2021-08-21,147,28 37 48.6,24 50 18.2,5,,,,,,,,,,,,,,,
,2021-10-17,154,"28 40 30,4","24 47 20,1",6,,,,,,,,,,,,,,,
,2021-10-19,163,28 39 35.3,24 49 47.8,6,,,,,,,,,,,,,,,
,2021-10-19,182,28 40 33.4,24 50 32.4,6,,,,,,,,,,,,,,,
,2021-08-31,191,"28 39 55,3","24 48 34,1",6,,,,,,,,,,,,,,,
,2021-10-17,211,"28 39 51,7","24 47 25,5",1,G36292,,,2200,165,42,44486,2021-09-05,2021-07-11,,,,,,
,2021-10-21,240,28 38 56.2,24 50 08.3,1,G20003,,,4100,260,57,44490,2021-08-25,2021-06-30,,,,,,
,2021-10-18,262,"28 41 09,6","24 48 41,7",6,,,,,,,,,,,,,,,
,2021-10-17,264,"28 39 43,9","24 47 26,7",1,G36290,W557,,5500,450,84,44486,2021-07-25,2021-05-30,,,,,,
,2021-08-31,314,"28 39 55,6","24 48 11,0",5,,,,,,,,,,,,,,,
,2021-10-19,316,28 40 17.7,24 50 02.2,1,G36308,W572,,5100,470,88,44488,2021-07-23,2021-05-28,,,,,,
,2021-08-17,328,28 38 04.8,24 46 40.6,8,,,,,,,,,,,,,,,
,2021-08-21,352,28 41 11.0,24 49 30.8,5,,,,,,,,,,,,,,,
,2021-08-13,359,28 38 43.4,24 47 35.4,3,,,,,,,,,,,,,,,
,2021-10-19,373,28 40 14.8,24 50 10.4,6,,,,,,,,,,,,,,,
,2021-10-19,382,"28 41 26,6","24 49 24,4",1,G36306,W570,,5400,465,87,44488,2021-07-24,2021-05-29,,,,,,
,2021-10-17,403,"28 40 29,0","24 48 52,6",6,,,,,,,,,,,,,,,
,2021-08-31,410,"28 39 50,2","24 48 36,5",6,,,,,,,,,,,,,,,
,2021-10-19,411,"28 39 58,9","24 48 25,1",1,G36305,W569,,4100,320,65,44488,2021-08-15,2021-06-20,,,,,,
,2021-08-31,413,"28 40 08,5","24 48 23,8",6,,,,,,,,,,,,,,,
,2021-10-17,414,"28 39 59,1","24 48 06,7",1,G36298,W563,,5100,440,83,44486,2021-07-26,2021-05-31,,,,,,
,2021-08-13,444,"28 38 50,6","24 47 45,9",8,,,,,,,,,,,,,,,
,2021-10-16,447,28 37 20.7,24 46 34.8,1,G36283,W551,,4400,325,66,44485,2021-08-11,2021-06-16,,,,,,
,2021-10-17,460,"28 39 31,3","24 47 34,7",8,,,,,,,,,,,,,,,
,2021-10-17,467,"28 39 40,4","24 47 28,7",1,G36289,W556,,5500,490,92,44486,2021-07-17,2021-05-22,,,,,,
,2021-10-17,468,"28 40 07,7","24 47 11,3",1,G36295,W560,,4500,345,69,44486,2021-08-09,2021-06-14,,,,,,
,2021-10-17,469,"28 40 19,0","24 47 19,7",1,G36296,W561,,6700,510,96,44486,2021-07-13,2021-05-18,,,,,,
,2021-08-17,471,"28 38 49,2","24 47 55,4",5,,,,,,,,,,,,,,,
,2021-08-21,479,28 40 39.1,24 49 20.8,5,,,,,,,,,,,,,,,
,2021-10-16,498,"28 36 26,3","24 46 45,5",1,G36280,W517,,4100,500,94,44485,2021-07-14,2021-05-19,,,,,,
,2021-10-16,511,28 37 22.2,24 46 53.9,6,,,,,,,,,,,,,,,
,2021-08-21,528,28 37 30.9,24 50 22.9,15,,,,,,,,,,,,,,,
,2021-08-20,529,28 36 52.3,24 46 33.3,6,,,,,,,,,,,,,,,
,2021-08-21,536,"28 39 58,9","24 49 43,0",6,,,,,,,,,,,,,,,
,2021-10-16,540,"28 38 41,6","24 46 57,5",6,,,,,,,,,,,,,,,
,2021-10-17,546,"28 39 23,8","24 47 49,8",1,G36288,,,2500,145,39,44486,2021-09-08,2021-07-14,,,,,,
,2021-10-16,549,28 36 22.3,24 46 58.2,1,G36281,W518,,3600,325,66,44485,2021-08-11,2021-06-16,,,,,,
,2021-08-21,555,28 40 16.1,24 50 30.6,8,,,,,,,,,,,,,,,
,2021-10-16,563,28 36 13.4,24 46 41.0,1,G36279,W516,,4800,535,102,44485,2021-07-06,2021-05-11,,,,,,
,2021-08-20,565,28 37 19.4,24 47 13.0,5,,,,,,,,,,,,,,,
,2021-08-21,571,28 37 42.5,24 49 18.2,5,,,,,,,,,,,,,,,
,2021-08-17,578,"28 38 57,3","24 48 10,5",6,,,,,,,,,,,,,,,
,2021-10-17,580,"28 39 21,5","24 47 52,6",1,G36287,W555,,4400,350,70,44486,2021-08-08,2021-06-13,,,,,,
,2021-08-21,585,28 37 08.9,24 49 27.5,8,,,,,,,,,,,,,,,
,2021-08-31,587,"28 39 57,6","24 48 11,8",8,,,,,,,,,,,,,,,
,2021-10-17,588,28 38 59.3,24 47 48.6,1,G36286,W554,,4200,425,80,44486,2021-07-29,2021-06-03,,,,,,
,2021-10-17,591,28 39 51.2,24 47 35.1,1,G36291,W558,,5100,495,93,44486,2021-07-16,2021-05-21,,,,,,
,2021-08-20,593,28 36 28.3,24 46 42.1,6,,,,,,,,,,,,,,,
,2021-10-21,605,"28 39 16,5","24 47 05,0",1,G20001,W580,,4600,385,75,44490,2021-08-07,2021-06-12,,,,,,
,2021-10-21,606,"28 39 01,0","24 47 04,2",1,G19996,W579,,5100,465,87,44490,2021-07-26,2021-05-31,,,,,,
,2021-10-17,607,"28 38 57,6","24 47 41,0",1,G36285,W553,,5000,450,84,44486,2021-07-25,2021-05-30,,,,,,
,2021-08-31,608,"28 39 32,9","24 47 46,3",5,,,,,,,,,,,,,,,
,2021-10-17,610,"28 39 52,5","24 47 09,8",1,G36293,,,3500,235,53,44486,2021-08-25,2021-06-30,,,,,,
,2021-10-19,613,"28 39 40,5","24 49 57,6",5,,,,,,,,,,,,,,,
,2021-08-21,614,"28 40 47,5","24 49 17,9",5,,,,,,,,,,,,,,,
,2021-10-21,616,"28 37 54,8","24 49 14,1",1,G20002,W581,,5000,360,72,44490,2021-08-10,2021-06-15,,,,,,
,2021-08-21,618,"28 41 06,1","24 49 39,5",6,,,,,,,,,,,,,,,
,2021-10-16,619,"28 38 54,8","24 47 00,7",6,,,,,,,,,,,,,,,
,2021-10-19,620,"28 38 56,4","24 47 00,3",1,G36304,W568,,3600,320,65,44488,2021-08-15,2021-06-20,,,,,,
,2021-10-19,621,"28 39 14,6","24 50 03,1",1,G36310,W574,,5100,430,81,44488,2021-07-30,2021-06-04,,,,,,
,2021-10-16,622,"28 36 30,1","24 46 58,8",15,,,,,,,,,,,,,,,
,2021-10-16,623,"28 36 34,0","24 46 28,8",1,G36282,W519,,4400,460,86,44485,2021-07-22,2021-05-27,,,,,,
,2021-10-16,624,"28 35 51,1","24 46 31,8",1,G36278,W515,,5000,480,90,44485,2021-07-18,2021-05-23,,,,,,
,2021-10-18,625,"28 41 04,7","24 49 25,0",1,G36299,W564,,4800,425,80,44487,2021-07-30,2021-06-04,,,,,,
,2021-10-17,626,"28 40 19,2","24 47 38,9",1,G36297,W562,,5900,385,75,44486,2021-08-03,2021-06-08,,,,,,
