,,,,,,,,,,,,,,,,,,,,
,RINGING SURVEY 19 September to 01 November 1993 (table 2),,,,,,,,,,,,,,,CODES,,,,
,Ringing,Tree #,,,Code,Ring,COLOUR RINGS,,Mass,Wing,Age at,Value at,Hatching,Laying ,,1,Chick ringed.,,,
,1995-09-17,77,28 40 57.2,24 49 43.9,5,,,,,,,,,,,,,,,
,TOTALS,36,,,36,19,19,,3408,211,49,,1995-07-29,1995-06-03,,,,,,
,,,,,,,,,,,,,,,,,,,,
,RINGING SURVEY 28 to 29 September 1996 (table 2),,,,,,,,,,,,,,,,,,,
,Ringing,Tree #,,,Code,Ring,COLOUR RINGS,,Mass,Wing,Age at,Value at,Hatching,Laying ,,,,,,
,Date,DRN,Southings,Eastings,Oct,#,L top down,R top down ,g,length mm,Ringing (days),Ringing,Date,Date,,,,,,
,1996-09-28,3,"28 38 55,5","24 47 15,2",15,,,,,,,,,,,,,,,
,1996-09-29,4,28 40 27.0,24 50 29.2,1,G19889,"M, G, Y","W, Y, Y",3700,190,47,35337,1996-08-13,1996-06-18,,,,,,
,1996-09-28,9,28 38 55.6,24 47 15.4,1,G19881,"M, G, Y","B, W, R",4500,340,69,35336,1996-07-21,1996-05-26,,,,,,
,1996-09-28,14,28 39 12.9,24 47 19.3,1,G19882,"M, G, Y","G, W, R",3700,250,56,35336,1996-08-03,1996-06-08,,,,,,
,1996-09-29,15,28 39 54.6,24 47 23.9,6,,,,,,,,,,,,,,,
,1996-09-29,16,28 40 04.1,24 47 49.0,1,G19870,"M, G, Y","G, B, R",5200,380,74,35337,1996-07-17,1996-05-22,,,,,,
,1996-09-28,17,28 40 46.6,24 47 58.6,1,G19884,"M, G, Y","R, W, R",3400,230,52,35336,1996-08-07,1996-06-12,,,,,,
,1996-09-29,18,28 40 55.9,24 48 06.6,6,,,,,,,,,,,,,,,
,1996-09-29,19,28 41 05.8,24 48 16.2,15,,,,,,,,,,,,,,,
,1996-09-28,26,28 41 18.7,24 48 50.0,15,,,,,,,,,,,,,,,
,1996-09-29,31,28 40 57.7,24 48 21.8,6,,,,,,,,,,,,,,,
,1996-09-29,34,28 41 06.9,24 49 14.5,1,G19891,"M, G, Y","Y, B, R",3800,240,54,35337,1996-08-06,1996-06-11,,,,,,
,1996-09-29,35,28 41 10.0,24 49 13.8,1,G19892,"M, G, Y","R, B, R",5450,460,86,35337,1996-07-05,1996-05-10,,,,,,
